Geo_FIPS,county_name
41001,BAKER
41003,BENTON
41005,CLACKAMAS
41007,CLATSOP
41009,COLUMBIA
41011,COOS
41013,CROOK
41015,CURRY
41017,DESCHUTES
41019,DOUGLAS
41021,GILLIAM
41023,GRANT
41025,HARNEY
41027,HOOD RIVER
41029,JACKSON
41031,JEFFERSON
41033,JOSEPHINE
41035,KLAMATH
41037,LAKE
41039,LANE
41041,LINCOLN
41043,LINN
41045,MALHEUR
41047,MARION
41049,MORROW
41051,MULTNOMAH
41053,POLK
41055,SHERMAN
41057,TILLAMOOK
41059,UMATILLA
41061,UNION
41063,WALLOWA
41065,WASCO
41067,WASHINGTON
41069,WHEELER
41071,YAMHILL
